time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
1994-01-05 05:48:00,8.867999999999999,0.4794,0.4478,0.4048,0.3283999999999999,0.2528,0.106,1.1e-08,7.1e-07
1994-01-05 05:49:00,9.534,0.4722,0.4404,0.3974,0.3182,0.2464,0.107,8.741176470588235e-09,7.014285714285715e-07
1994-01-05 05:50:00,10.2,0.465,0.433,0.39,0.308,0.24,0.108,1.1082352941176471e-08,7.442857142857142e-07
1994-01-05 05:51:00,9.808,0.4194,0.3876,0.346,0.28,0.2254,0.1014,1.9529411764705882e-08,8.971428571428572e-07
1994-01-05 05:52:00,9.416,0.3738,0.3422,0.302,0.252,0.2108,0.0948,2.4705882352941177e-08,9.842857142857145e-07
1994-01-05 05:53:00,9.024,0.3282,0.2967999999999999,0.258,0.224,0.1961999999999999,0.0882,2.5058823529411764e-08,1.0142857142857144e-06
1994-01-05 05:54:00,8.632,0.2825999999999999,0.2513999999999999,0.214,0.196,0.1816,0.0816,2.376470588235294e-08,1.0071428571428572e-06
1994-01-05 05:55:00,8.24,0.237,0.206,0.17,0.168,0.167,0.075,1.8117647058823527e-08,9.585714285714289e-07
1994-01-05 05:56:00,7.966,0.2356,0.2046,0.1672,0.157,0.1493,0.06558,1.1682352941176472e-08,8.585714285714287e-07
1994-01-05 05:57:00,7.692,0.2342,0.2032,0.1644,0.146,0.1316,0.05616,8.058823529411764e-09,7.585714285714286e-07
1994-01-05 05:58:00,7.418,0.2328,0.2018,0.1616,0.135,0.1139,0.04674,7.317647058823529e-09,7.071428571428572e-07
1994-01-05 05:59:00,7.144,0.2314,0.2004,0.1588,0.124,0.0962,0.03732,7.11764705882353e-09,6.828571428571429e-07
1994-01-05 06:00:00,6.87,0.23,0.199,0.156,0.113,0.0785,0.0279,7.564705882352941e-09,6.757142857142858e-07
1994-01-05 06:01:00,7.104,0.2568,0.2258,0.1728,0.1266,0.0852,0.02792,1.6352941176470588e-08,7.642857142857143e-07
1994-01-05 06:02:00,7.338,0.2836,0.2526,0.1896,0.1402,0.0919,0.02794,1.729411764705882e-08,7.971428571428572e-07
1994-01-05 06:03:00,7.571999999999999,0.3104,0.2794,0.2064,0.1538,0.0986,0.02796,6.411764705882353e-09,6.557142857142858e-07
1994-01-05 06:04:00,7.805999999999999,0.3372,0.3062,0.2232,0.1674,0.1053,0.02798,6.811764705882353e-09,6.528571428571429e-07
1994-01-05 06:05:00,8.04,0.364,0.333,0.24,0.181,0.112,0.028,5.329411764705882e-09,6.285714285714287e-07
1994-01-05 06:06:00,8.08,0.3572,0.3264,0.2344,0.1762,0.1098,0.028,6.2470588235294124e-09,6.3e-07
1994-01-05 06:07:00,8.12,0.3504,0.3198,0.2288,0.1714,0.1076,0.028,5.211764705882353e-09,6.142857142857143e-07
1994-01-05 06:08:00,8.16,0.3436,0.3132,0.2232,0.1666,0.1054,0.028,4.305882352941177e-09,6.042857142857143e-07
1994-01-05 06:09:00,8.2,0.3368,0.3066,0.2176,0.1618,0.1032,0.028,5.482352941176471e-09,6.242857142857143e-07
1994-01-05 06:10:00,8.24,0.33,0.3,0.212,0.157,0.101,0.028,6.31764705882353e-09,6.457142857142858e-07
1994-01-05 06:11:00,8.396,0.346,0.3157999999999999,0.237,0.1834,0.1272,0.0428,6.564705882352941e-09,6.571428571428571e-07
1994-01-05 06:12:00,8.552,0.362,0.3316,0.262,0.2098,0.1534,0.0576,7.070588235294118e-09,6.557142857142858e-07
1994-01-05 06:13:00,8.708,0.378,0.3474,0.287,0.2362,0.1796,0.0723999999999999,5.682352941176471e-09,6.342857142857143e-07
1994-01-05 06:14:00,8.863999999999999,0.394,0.3631999999999999,0.312,0.2626,0.2058,0.0872,5.4705882352941185e-09,6.271428571428572e-07
1994-01-05 06:15:00,9.02,0.41,0.379,0.337,0.289,0.232,0.102,5.2e-09,6.3e-07
1994-01-05 06:16:00,8.706,0.4049999999999999,0.3332,0.2908,0.252,0.2062,0.0872,5.752941176470588e-09,6.4e-07
