time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
1991-12-22 04:26:00,13.52,2.3120000000000003,0.2738,0.03748,0.03568,0.03518,0.01884,1.752941176470588e-08,2.442857142857143e-06
1991-12-22 04:27:00,13.14,2.3840000000000003,0.2596,0.0418599999999999,0.04006,0.03956,0.01828,1.6941176470588234e-08,2.428571428571429e-06
1991-12-22 04:28:00,12.76,2.456,0.2454,0.0462399999999999,0.04444,0.04394,0.01772,1.776470588235294e-08,2.428571428571429e-06
1991-12-22 04:29:00,12.38,2.528,0.2312,0.05062,0.04882,0.04832,0.01716,2.0588235294117653e-08,2.4571428571428573e-06
1991-12-22 04:30:00,12.0,2.6,0.217,0.055,0.0532,0.0527,0.0166,2.070588235294117e-08,2.442857142857143e-06
1991-12-22 04:31:00,11.484,2.504,0.2152,0.057,0.0552,0.0547,0.02354,2.317647058823529e-08,2.485714285714286e-06
1991-12-22 04:32:00,10.968,2.408,0.2134,0.059,0.0572,0.0567,0.03048,2.411764705882353e-08,2.5e-06
1991-12-22 04:33:00,10.452,2.3120000000000003,0.2115999999999999,0.061,0.0592,0.0587,0.0374199999999999,2.2470588235294123e-08,2.471428571428572e-06
1991-12-22 04:34:00,9.936,2.216,0.2098,0.063,0.0612,0.0607,0.04436,2.188235294117648e-08,2.4571428571428573e-06
1991-12-22 04:35:00,9.42,2.12,0.208,0.065,0.0632,0.0627,0.0513,2.0352941176470588e-08,2.428571428571429e-06
1991-12-22 04:36:00,9.536,2.27,0.2712,0.06394,0.06214,0.06164,0.05024,1.9647058823529413e-08,2.4000000000000003e-06
1991-12-22 04:37:00,9.652,2.42,0.3344,0.06288,0.06108,0.06058,0.04918,1.9647058823529413e-08,2.4000000000000003e-06
1991-12-22 04:38:00,9.768,2.5700000000000003,0.3976,0.06182,0.06002,0.05952,0.0481199999999999,2.1764705882352946e-08,2.4142857142857143e-06
1991-12-22 04:39:00,9.884,2.72,0.4608,0.06076,0.05896,0.05846,0.04706,2.4e-08,2.428571428571429e-06
