time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
2001-08-27 05:31:00,19.14,2.134,0.748,0.11632,0.061,0.05096,0.03034,3.5294117647058824e-08,2.4571428571428573e-06
2001-08-27 05:32:00,19.48,2.038,0.711,0.1467399999999999,0.0755,0.06112,0.03158,3.694117647058824e-08,2.4571428571428573e-06
2001-08-27 05:33:00,19.82,1.942,0.6739999999999999,0.1771599999999999,0.09,0.07128,0.03282,4.48235294117647e-08,2.571428571428572e-06
2001-08-27 05:34:00,20.16,1.846,0.637,0.20758,0.1045,0.08144,0.03406,7.011764705882352e-08,2.785714285714286e-06
2001-08-27 05:35:00,20.5,1.75,0.6,0.238,0.119,0.0916,0.0353,9.494117647058824e-08,3.0142857142857145e-06
2001-08-27 05:36:00,21.44,1.832,0.5876,0.20492,0.10158,0.07854,0.03116,1.123529411764706e-07,3.2142857142857147e-06
2001-08-27 05:37:00,22.38,1.914,0.5752,0.17184,0.08416,0.06548,0.02702,1.2705882352941176e-07,3.4142857142857145e-06
2001-08-27 05:38:00,23.32,1.996,0.5628,0.13876,0.06674,0.05242,0.0228799999999999,1.5294117647058826e-07,3.671428571428572e-06
2001-08-27 05:39:00,24.26,2.0780000000000003,0.5504,0.10568,0.04932,0.03936,0.01874,1.8000000000000002e-07,3.957142857142858e-06
2001-08-27 05:40:00,25.2,2.16,0.538,0.0726,0.0319,0.0263,0.0146,1.9176470588235294e-07,4.1857142857142856e-06
2001-08-27 05:41:00,23.34,1.928,0.5,0.10468,0.04298,0.03126,0.01476,2.035294117647059e-07,4.342857142857143e-06
2001-08-27 05:42:00,21.48,1.6960000000000002,0.462,0.13676,0.05406,0.03622,0.01492,2.388235294117647e-07,4.557142857142857e-06
2001-08-27 05:43:00,19.62,1.464,0.424,0.16884,0.06514,0.04118,0.01508,2.458823529411765e-07,4.685714285714286e-06
2001-08-27 05:44:00,17.759999999999998,1.232,0.386,0.20092,0.07622,0.04614,0.01524,2.3294117647058826e-07,4.714285714285715e-06
2001-08-27 05:45:00,15.9,1.0,0.348,0.233,0.0873,0.0511,0.0154,2.1176470588235298e-07,4.628571428571429e-06
2001-08-27 05:46:00,16.26,1.208,0.412,0.20542,0.07954,0.0495,0.0186,1.941176470588236e-07,4.542857142857143e-06
2001-08-27 05:47:00,16.62,1.416,0.476,0.17784,0.07178,0.0479,0.0218,1.788235294117647e-07,4.428571428571429e-06
2001-08-27 05:48:00,16.98,1.624,0.54,0.15026,0.06402,0.0463,0.0249999999999999,1.7176470588235297e-07,4.4e-06
2001-08-27 05:49:00,17.34,1.832,0.6040000000000001,0.12268,0.05626,0.0447,0.0281999999999999,1.7058823529411768e-07,4.457142857142858e-06
2001-08-27 05:50:00,17.7,2.04,0.668,0.0951,0.0485,0.0431,0.0314,1.811764705882353e-07,4.542857142857143e-06
2001-08-27 05:51:00,17.28,2.296,0.8064,0.10328,0.05016,0.0435,0.02922,1.988235294117647e-07,4.728571428571429e-06
2001-08-27 05:52:00,16.86,2.552,0.9448,0.11146,0.05182,0.0439,0.0270399999999999,1.6705882352941177e-07,4.585714285714286e-06
2001-08-27 05:53:00,16.439999999999998,2.808,1.0832000000000002,0.11964,0.05348,0.0443,0.02486,1.494117647058824e-07,4.457142857142858e-06
2001-08-27 05:54:00,16.02,3.064,1.2216,0.12782,0.05514,0.0447,0.02268,1.3647058823529413e-07,4.342857142857143e-06
2001-08-27 05:55:00,15.6,3.32,1.36,0.136,0.0568,0.0451,0.0205,1.2705882352941176e-07,4.257142857142857e-06
2001-08-27 05:56:00,14.8,3.128,1.322,0.1554,0.06564,0.05168,0.0226,1.176470588235294e-07,4.1857142857142856e-06
2001-08-27 05:57:00,14.0,2.936,1.284,0.1748,0.07448,0.05826,0.0247,1.0905882352941177e-07,4.071428571428572e-06
2001-08-27 05:58:00,13.2,2.744,1.246,0.1942,0.08332,0.06484,0.0268,1.0223529411764706e-07,4e-06
2001-08-27 05:59:00,12.4,2.552,1.208,0.2136,0.09216,0.07142,0.0289,9.305882352941177e-08,3.857142857142857e-06
