time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
2000-06-12 00:29:00,48.02,7.208,2.456,0.317,0.09076,0.04992,0.0138,2.2352941176470592e-08,1.6e-06
2000-06-12 00:30:00,47.6,7.19,2.48,0.309,0.0867,0.0486,0.0138,2.0823529411764706e-08,1.5857142857142857e-06
2000-06-12 00:31:00,46.68,7.180000000000001,2.496,0.3134,0.08806,0.04906,0.0138,2e-08,1.5714285714285717e-06
2000-06-12 00:32:00,45.76,7.17,2.512,0.3178,0.08942,0.04952,0.0138,1.9882352941176472e-08,1.5571428571428572e-06
2000-06-12 00:33:00,44.84,7.16,2.528,0.3222,0.09078,0.04998,0.0138,1.847058823529412e-08,1.5571428571428572e-06
2000-06-12 00:34:00,43.92,7.15,2.544,0.3266,0.09214,0.05044,0.0138,1.776470588235294e-08,1.5571428571428572e-06
2000-06-12 00:35:00,43.0,7.14,2.56,0.331,0.0935,0.0509,0.0138,1.8705882352941177e-08,1.5571428571428572e-06
2000-06-12 00:36:00,42.16,7.036,2.548,0.3662,0.1056,0.05446,0.0138,2e-08,1.5714285714285717e-06
2000-06-12 00:37:00,41.32,6.932,2.536,0.4014,0.1177,0.05802,0.0138,2e-08,1.6e-06
2000-06-12 00:38:00,40.48,6.828,2.524,0.4366,0.1298,0.0615799999999999,0.0138,2e-08,1.6e-06
2000-06-12 00:39:00,39.64,6.724,2.512,0.4718,0.1419,0.06514,0.0138,1.9647058823529413e-08,1.6e-06
2000-06-12 00:40:00,38.8,6.62,2.5,0.507,0.154,0.0687,0.0138,1.8000000000000002e-08,1.5857142857142857e-06
2000-06-12 00:41:00,38.88,6.922000000000001,2.596,0.4774,0.1436,0.06602,0.0141,1.776470588235294e-08,1.5857142857142857e-06
2000-06-12 00:42:00,38.96,7.224,2.692,0.4478,0.1331999999999999,0.06334,0.0144,1.776470588235294e-08,1.5714285714285717e-06
2000-06-12 00:43:00,39.04,7.526000000000001,2.7880000000000003,0.4182,0.1227999999999999,0.06066,0.0147,1.776470588235294e-08,1.5714285714285717e-06
2000-06-12 00:44:00,39.120000000000005,7.828000000000001,2.884,0.3886,0.1124,0.05798,0.015,1.8588235294117645e-08,1.5857142857142857e-06
2000-06-12 00:45:00,39.2,8.13,2.98,0.359,0.102,0.0553,0.0153,1.9294117647058823e-08,1.5857142857142857e-06
2000-06-12 00:46:00,37.6,7.942000000000001,2.98,0.3455999999999999,0.1026,0.06064,0.01856,1.788235294117647e-08,1.5857142857142857e-06
2000-06-12 00:47:00,36.0,7.754,2.98,0.3322,0.1032,0.06598,0.02182,1.9529411764705882e-08,1.5857142857142857e-06
