time_stamp,e2_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic,short,long
2003-02-12 00:42:00,140.4,0.1852,0.16412,0.07604,0.05408,0.04798,0.0365,4.458823529411765e-09,4.471428571428572e-07
2003-02-12 00:43:00,138.6,0.1658,0.14118,0.06686,0.05002,0.04532,0.0339,4.3294117647058824e-09,4.471428571428572e-07
2003-02-12 00:44:00,136.8,0.1464,0.11824,0.05768,0.04596,0.04266,0.0313,4.188235294117647e-09,4.4e-07
2003-02-12 00:45:00,135.0,0.127,0.0953,0.0485,0.0419,0.04,0.0287,4.3294117647058824e-09,4.4e-07
2003-02-12 00:46:00,136.4,0.2072,0.13004,0.05016,0.03978,0.03716,0.02582,4.729411764705882e-09,4.471428571428572e-07
2003-02-12 00:47:00,137.8,0.2874,0.16478,0.05182,0.03766,0.03432,0.02294,5.376470588235294e-09,4.5000000000000003e-07
2003-02-12 00:48:00,139.2,0.3676,0.19952,0.05348,0.03554,0.03148,0.02006,6.258823529411765e-09,4.614285714285715e-07
2003-02-12 00:49:00,140.6,0.4478,0.23426,0.05514,0.03342,0.02864,0.01718,6.388235294117647e-09,4.842857142857143e-07
2003-02-12 00:50:00,142.0,0.528,0.269,0.0568,0.0313,0.0258,0.0143,8.576470588235294e-09,5.071428571428572e-07
2003-02-12 00:51:00,143.0,0.4736,0.2484,0.07264,0.0401,0.0327,0.01724,8.505882352941176e-09,5.285714285714286e-07
2003-02-12 00:52:00,144.0,0.4192,0.2278,0.08848,0.0489,0.0396,0.02018,8.505882352941176e-09,5.314285714285715e-07
2003-02-12 00:53:00,145.0,0.3648,0.2072,0.10432,0.0577,0.0465,0.02312,8.152941176470587e-09,5.271428571428571e-07
2003-02-12 00:54:00,146.0,0.3104,0.1866,0.12016,0.0665,0.0534,0.02606,6.5411764705882356e-09,5.214285714285714e-07
2003-02-12 00:55:00,147.0,0.256,0.166,0.136,0.0753,0.0603,0.029,6.270588235294118e-09,5.128571428571429e-07
2003-02-12 00:56:00,145.8,0.235,0.16,0.12798,0.0781,0.06578,0.03154,6.258823529411765e-09,5.114285714285714e-07
2003-02-12 00:57:00,144.6,0.214,0.154,0.11996,0.0809,0.07126,0.03408,6.258823529411765e-09,5.085714285714286e-07
2003-02-12 00:58:00,143.4,0.193,0.148,0.11194,0.0837,0.07674,0.03662,6.294117647058824e-09,5.114285714285714e-07
2003-02-12 00:59:00,142.2,0.172,0.142,0.10392,0.0865,0.08222,0.03916,6.258823529411765e-09,5.185714285714287e-07
2003-02-12 01:00:00,141.0,0.151,0.136,0.0959,0.0893,0.0877,0.0417,6.258823529411765e-09,5.285714285714286e-07
2003-02-12 01:01:00,140.8,0.1444,0.1296,0.0921,0.08114,0.07874,0.03966,6.258823529411765e-09,5.142857142857143e-07
2003-02-12 01:02:00,140.6,0.1378,0.1232,0.0883,0.07298,0.06978,0.03762,6.258823529411765e-09,5.071428571428572e-07
2003-02-12 01:03:00,140.4,0.1311999999999999,0.1168,0.0844999999999999,0.06482,0.06082,0.03558,8.517647058823529e-09,5.542857142857143e-07
2003-02-12 01:04:00,140.2,0.1245999999999999,0.1104,0.0807,0.05666,0.05186,0.03354,1.0388235294117648e-08,5.957142857142857e-07
2003-02-12 01:05:00,140.0,0.118,0.104,0.0769,0.0485,0.0429,0.0315,7.564705882352941e-09,5.557142857142857e-07
2003-02-12 01:06:00,140.0,0.1139,0.09976,0.0729399999999999,0.04892,0.04408,0.02806,6.294117647058824e-09,5.257142857142858e-07
2003-02-12 01:07:00,140.0,0.1098,0.09552,0.06898,0.04934,0.04526,0.02462,6.258823529411765e-09,5.142857142857143e-07
2003-02-12 01:08:00,140.0,0.1057,0.09128,0.06502,0.04976,0.04644,0.02118,6.258823529411765e-09,5.114285714285714e-07
2003-02-12 01:09:00,140.0,0.1016,0.08704,0.0610599999999999,0.05018,0.04762,0.01774,6.270588235294118e-09,5.2e-07
2003-02-12 01:10:00,140.0,0.0975,0.0828,0.0571,0.0506,0.0488,0.0143,6.258823529411765e-09,5.214285714285714e-07
2003-02-12 01:11:00,139.4,0.1178,0.08844,0.06236,0.05582,0.054,0.02414,6.258823529411765e-09,5.3e-07
2003-02-12 01:12:00,138.8,0.1381,0.09408,0.06762,0.06104,0.0592,0.0339799999999999,6.411764705882353e-09,5.357142857142858e-07
2003-02-12 01:13:00,138.2,0.1584,0.09972,0.07288,0.06626,0.0644,0.04382,7.258823529411765e-09,5.428571428571429e-07
2003-02-12 01:14:00,137.6,0.1787,0.10536,0.07814,0.07148,0.0696,0.05366,8.505882352941176e-09,5.542857142857143e-07
2003-02-12 01:15:00,137.0,0.199,0.111,0.0834,0.0767,0.0748,0.0635,8.505882352941176e-09,5.657142857142857e-07
2003-02-12 01:16:00,138.4,0.2008,0.1276,0.09432,0.08296,0.07966,0.0601,8.505882352941176e-09,5.871428571428572e-07
2003-02-12 01:17:00,139.8,0.2026,0.1442,0.10524,0.08922,0.08452,0.0567,8.517647058823529e-09,6.028571428571429e-07
2003-02-12 01:18:00,141.2,0.2044,0.1608,0.11616,0.09548,0.08938,0.0533,8.505882352941176e-09,6.042857142857143e-07
2003-02-12 01:19:00,142.6,0.2062,0.1774,0.12708,0.10174,0.0942399999999999,0.0499,8.505882352941176e-09,6.042857142857143e-07
2003-02-12 01:20:00,144.0,0.208,0.194,0.138,0.108,0.0991,0.0465,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:21:00,143.6,0.2172,0.16736,0.11708,0.09176,0.08428,0.03994,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:22:00,143.2,0.2264,0.14072,0.09616,0.07552,0.06946,0.03338,8.541176470588235e-09,6.028571428571429e-07
2003-02-12 01:23:00,142.8,0.2356,0.1140799999999999,0.07524,0.05928,0.0546399999999999,0.02682,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:24:00,142.4,0.2448,0.0874399999999999,0.05432,0.04304,0.0398199999999999,0.02026,8.505882352941176e-09,6.100000000000001e-07
2003-02-12 01:25:00,142.0,0.254,0.0608,0.0334,0.0268,0.025,0.0137,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:26:00,142.0,0.2562,0.08244,0.04596,0.03934,0.03754,0.02186,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:27:00,142.0,0.2584,0.10408,0.0585199999999999,0.0518799999999999,0.05008,0.03002,8.505882352941176e-09,6.028571428571429e-07
2003-02-12 01:28:00,142.0,0.2606,0.12572,0.0710799999999999,0.06442,0.06262,0.03818,8.447058823529412e-09,5.985714285714286e-07
2003-02-12 01:29:00,142.0,0.2628,0.14736,0.0836399999999999,0.07696,0.07516,0.04634,8.294117647058824e-09,5.928571428571429e-07
2003-02-12 01:30:00,142.0,0.265,0.169,0.0962,0.0895,0.0877,0.0545,8.105882352941176e-09,5.928571428571429e-07
2003-02-12 01:31:00,143.4,0.2484,0.1688,0.10016,0.09,0.08726,0.05022,7.68235294117647e-09,5.842857142857144e-07
2003-02-12 01:32:00,144.8,0.2318,0.1686,0.10412,0.0905,0.08682,0.0459399999999999,7.223529411764705e-09,5.828571428571428e-07
2003-02-12 01:33:00,146.2,0.2152,0.1684,0.10808,0.091,0.08638,0.0416599999999999,6.964705882352942e-09,5.828571428571428e-07
