time_tag,p3_flux_ic,p5_flux_ic,p7_flux_ic,short,long
2000-09-12 04:00:00,0.0794,0.0281,0.0126,1.052941176470588e-09,5.3e-07
2000-09-12 04:01:00,0.09072,0.03724,0.01752,1.061176470588235e-09,5.271428571428571e-07
2000-09-12 04:02:00,0.10204,0.04638,0.0224399999999999,1.0552941176470584e-09,5.257142857142858e-07
2000-09-12 04:03:00,0.11336,0.05552,0.0273599999999999,1.061176470588235e-09,5.242857142857143e-07
2000-09-12 04:04:00,0.12468,0.06466,0.0322799999999999,1.057647058823529e-09,5.242857142857143e-07
2000-09-12 04:05:00,0.136,0.0738,0.0372,1.057647058823529e-09,5.242857142857143e-07
2000-09-12 04:06:00,0.12484,0.0692,0.0345199999999999,1.0658823529411763e-09,5.2e-07
2000-09-12 04:07:00,0.11368,0.0646,0.03184,1.061176470588235e-09,5.171428571428571e-07
2000-09-12 04:08:00,0.10252,0.06,0.02916,1.0552941176470584e-09,5.142857142857143e-07
2000-09-12 04:09:00,0.09136,0.0554,0.02648,1.061176470588235e-09,5.114285714285714e-07
2000-09-12 04:10:00,0.0802,0.0508,0.0238,1.057647058823529e-09,5.1e-07
2000-09-12 04:11:00,0.09236,0.04684,0.02196,1.0635294117647059e-09,5.071428571428572e-07
2000-09-12 04:12:00,0.1045199999999999,0.04288,0.02012,1.0552941176470584e-09,5.042857142857143e-07
2000-09-12 04:13:00,0.1166799999999999,0.0389199999999999,0.01828,1.0682352941176471e-09,5.014285714285714e-07
2000-09-12 04:14:00,0.1288399999999999,0.03496,0.01644,1.1282352941176471e-09,5e-07
2000-09-12 04:15:00,0.141,0.031,0.0146,1.0776470588235296e-09,5.028571428571429e-07
2000-09-12 04:16:00,0.1337999999999999,0.02978,0.0142,1.075294117647059e-09,4.985714285714286e-07
2000-09-12 04:17:00,0.1266,0.02856,0.0138,1.052941176470588e-09,4.985714285714286e-07
2000-09-12 04:18:00,0.1193999999999999,0.02734,0.0134,1.057647058823529e-09,4.942857142857143e-07
