time_tag,p3_flux_ic,p5_flux_ic,p7_flux_ic,short,long
2000-07-22 01:20:00,1.29,0.0264,0.0123,2.6588235294117647e-08,3.185714285714286e-06
2000-07-22 01:21:00,1.524,0.04332,0.01834,2.6e-08,3.1571428571428573e-06
2000-07-22 01:22:00,1.758,0.06024,0.02438,2.694117647058824e-08,3.142857142857144e-06
2000-07-22 01:23:00,1.992,0.07716,0.03042,2.788235294117647e-08,3.128571428571429e-06
2000-07-22 01:24:00,2.226,0.09408,0.03646,2.8235294117647065e-08,3.128571428571429e-06
2000-07-22 01:25:00,2.46,0.111,0.0425,2.7058823529411772e-08,3.1e-06
2000-07-22 01:26:00,2.456,0.09406,0.03646,2.611764705882353e-08,3.057142857142857e-06
2000-07-22 01:27:00,2.452,0.07712,0.03042,2.447058823529412e-08,3.0142857142857145e-06
2000-07-22 01:28:00,2.448,0.06018,0.02438,2.376470588235294e-08,3e-06
2000-07-22 01:29:00,2.444,0.04324,0.01834,2.3529411764705885e-08,2.9571428571428576e-06
2000-07-22 01:30:00,2.44,0.0263,0.0123,2.2823529411764704e-08,2.942857142857143e-06
2000-07-22 01:31:00,2.448,0.03042,0.01632,2.223529411764706e-08,2.885714285714286e-06
2000-07-22 01:32:00,2.456,0.03454,0.02034,2.2588235294117648e-08,2.9142857142857142e-06
2000-07-22 01:33:00,2.464,0.03866,0.02436,2.317647058823529e-08,2.9e-06
2000-07-22 01:34:00,2.472,0.04278,0.02838,2.5764705882352945e-08,2.942857142857143e-06
2000-07-22 01:35:00,2.48,0.0469,0.0324,2.8941176470588243e-08,2.971428571428572e-06
2000-07-22 01:36:00,2.36,0.0611199999999999,0.0351,4.48235294117647e-08,3.1571428571428573e-06
2000-07-22 01:37:00,2.24,0.0753399999999999,0.0378,5.2470588235294134e-08,3.314285714285714e-06
2000-07-22 01:38:00,2.12,0.08956,0.0405,4.764705882352941e-08,3.342857142857143e-06
2000-07-22 01:39:00,2.0,0.10378,0.0432,4.188235294117648e-08,3.2571428571428577e-06
2000-07-22 01:40:00,1.88,0.118,0.0459,3.364705882352941e-08,3.142857142857144e-06
2000-07-22 01:41:00,1.966,0.1132,0.04236,2.9058823529411764e-08,3.042857142857143e-06
2000-07-22 01:42:00,2.052,0.1084,0.03882,2.6823529411764713e-08,2.9857142857142856e-06
2000-07-22 01:43:00,2.138,0.1036,0.03528,2.5294117647058824e-08,2.942857142857143e-06
2000-07-22 01:44:00,2.224,0.0988,0.03174,2.4705882352941177e-08,2.9285714285714287e-06
2000-07-22 01:45:00,2.31,0.094,0.0282,2.4941176470588243e-08,2.9285714285714287e-06
2000-07-22 01:46:00,2.2840000000000003,0.096,0.0295199999999999,2.7176470588235294e-08,2.942857142857143e-06
2000-07-22 01:47:00,2.258,0.098,0.03084,2.7764705882352943e-08,2.9571428571428576e-06
2000-07-22 01:48:00,2.232,0.0999999999999999,0.0321599999999999,3.0117647058823535e-08,3e-06
2000-07-22 01:49:00,2.206,0.102,0.0334799999999999,3.364705882352941e-08,3.071428571428572e-06
2000-07-22 01:50:00,2.18,0.104,0.0348,3.670588235294119e-08,3.085714285714286e-06
2000-07-22 01:51:00,2.242,0.10132,0.0375599999999999,4.2588235294117655e-08,3.142857142857144e-06
2000-07-22 01:52:00,2.3040000000000003,0.0986399999999999,0.0403199999999999,5.082352941176472e-08,3.2857142857142857e-06
2000-07-22 01:53:00,2.366,0.0959599999999999,0.0430799999999999,6.294117647058825e-08,3.457142857142857e-06
2000-07-22 01:54:00,2.4280000000000004,0.09328,0.04584,7.505882352941178e-08,3.6571428571428576e-06
2000-07-22 01:55:00,2.49,0.0906,0.0486,9.611764705882353e-08,3.971428571428572e-06
2000-07-22 01:56:00,2.472,0.07776,0.0413399999999999,9.917647058823529e-08,4.114285714285715e-06
2000-07-22 01:57:00,2.454,0.06492,0.03408,1.0247058823529413e-07,4.1857142857142856e-06
2000-07-22 01:58:00,2.436,0.05208,0.0268199999999999,1.223529411764706e-07,4.328571428571428e-06
2000-07-22 01:59:00,2.418,0.03924,0.0195599999999999,1.247058823529412e-07,4.4e-06
2000-07-22 02:00:00,2.4,0.0264,0.0123,1.2000000000000004e-07,4.4e-06
2000-07-22 02:01:00,2.47,0.03794,0.01506,1.0576470588235297e-07,4.3e-06
2000-07-22 02:02:00,2.54,0.0494799999999999,0.01782,9.458823529411765e-08,4.1571428571428575e-06
2000-07-22 02:03:00,2.61,0.06102,0.02058,8.682352941176472e-08,4.042857142857143e-06
2000-07-22 02:04:00,2.68,0.0725599999999999,0.02334,8.047058823529415e-08,3.928571428571429e-06
2000-07-22 02:05:00,2.75,0.0841,0.0261,7.75294117647059e-08,3.857142857142857e-06
2000-07-22 02:06:00,2.496,0.0726,0.02336,7.564705882352941e-08,3.8142857142857145e-06
2000-07-22 02:07:00,2.242,0.0610999999999999,0.02062,7.094117647058824e-08,3.771428571428572e-06
2000-07-22 02:08:00,1.988,0.0495999999999999,0.01788,6.68235294117647e-08,3.700000000000001e-06
2000-07-22 02:09:00,1.734,0.0380999999999999,0.01514,6.211764705882353e-08,3.6571428571428576e-06
2000-07-22 02:10:00,1.48,0.0266,0.0124,5.7058823529411766e-08,3.6000000000000003e-06
2000-07-22 02:11:00,1.494,0.02914,0.01298,5.176470588235295e-08,3.514285714285715e-06
2000-07-22 02:12:00,1.508,0.03168,0.01356,4.9294117647058824e-08,3.485714285714286e-06
2000-07-22 02:13:00,1.522,0.03422,0.01414,4.63529411764706e-08,3.4142857142857145e-06
2000-07-22 02:14:00,1.536,0.03676,0.01472,4.435294117647059e-08,3.4000000000000005e-06
2000-07-22 02:15:00,1.55,0.0393,0.0153,4.176470588235294e-08,3.357142857142857e-06
2000-07-22 02:16:00,1.746,0.04034,0.0170799999999999,3.988235294117648e-08,3.328571428571429e-06
2000-07-22 02:17:00,1.942,0.04138,0.01886,3.847058823529412e-08,3.3e-06
2000-07-22 02:18:00,2.138,0.04242,0.02064,3.847058823529412e-08,3.2857142857142857e-06
2000-07-22 02:19:00,2.334,0.04346,0.02242,3.988235294117648e-08,3.328571428571429e-06
2000-07-22 02:20:00,2.53,0.0445,0.0242,3.941176470588237e-08,3.314285714285714e-06
2000-07-22 02:21:00,2.48,0.0574,0.02366,4.0705882352941175e-08,3.314285714285714e-06
2000-07-22 02:22:00,2.43,0.0703,0.0231199999999999,4.9294117647058824e-08,3.385714285714286e-06
2000-07-22 02:23:00,2.38,0.0832,0.02258,7.011764705882352e-08,3.6000000000000003e-06
2000-07-22 02:24:00,2.33,0.0960999999999999,0.0220399999999999,7.811764705882354e-08,3.757142857142857e-06
2000-07-22 02:25:00,2.28,0.109,0.0215,7.564705882352941e-08,3.771428571428572e-06
2000-07-22 02:26:00,2.202,0.09804,0.02514,7.11764705882353e-08,3.757142857142857e-06
2000-07-22 02:27:00,2.124,0.0870799999999999,0.02878,9.364705882352941e-08,3.914285714285715e-06
2000-07-22 02:28:00,2.046,0.07612,0.03242,1.1341176470588237e-07,4.1000000000000006e-06
2000-07-22 02:29:00,1.968,0.06516,0.0360599999999999,1.163529411764706e-07,4.257142857142857e-06
2000-07-22 02:30:00,1.89,0.0542,0.0397,1.2941176470588238e-07,4.371428571428571e-06
2000-07-22 02:31:00,1.942,0.0557999999999999,0.03818,1.2941176470588238e-07,4.485714285714286e-06
2000-07-22 02:32:00,1.994,0.0574,0.03666,1.2941176470588238e-07,4.585714285714286e-06
2000-07-22 02:33:00,2.046,0.059,0.03514,1.5411764705882352e-07,4.742857142857143e-06
2000-07-22 02:34:00,2.098,0.0606,0.03362,1.7294117647058825e-07,4.871428571428572e-06
2000-07-22 02:35:00,2.15,0.0622,0.0321,1.8470588235294122e-07,4.9571428571428575e-06
2000-07-22 02:36:00,2.104,0.0613,0.0296199999999999,1.9176470588235294e-07,5.028571428571429e-06
