time_tag,p3_flux_ic,p5_flux_ic,p7_flux_ic,short,long
1991-10-28 01:00:00,0.0782,0.0359,0.027,1.2941176470588238e-07,5.071428571428571e-06
1991-10-28 01:01:00,0.08106,0.03784,0.02898,1.2000000000000004e-07,4.9000000000000005e-06
1991-10-28 01:02:00,0.08392,0.03978,0.03096,1.2000000000000004e-07,4.828571428571429e-06
1991-10-28 01:03:00,0.08678,0.04172,0.03294,1.3411764705882353e-07,4.942857142857144e-06
1991-10-28 01:04:00,0.08964,0.04366,0.03492,2.8588235294117645e-07,6e-06
1991-10-28 01:05:00,0.0925,0.0456,0.0369,5.011764705882353e-07,7.271428571428572e-06
1991-10-28 01:06:00,0.08214,0.03998,0.0316,6.31764705882353e-07,8.157142857142858e-06
1991-10-28 01:07:00,0.07178,0.03436,0.0263,1.0058823529411763e-06,9.771428571428571e-06
1991-10-28 01:08:00,0.06142,0.02874,0.0209999999999999,1.6705882352941175e-06,1.2614285714285716e-05
1991-10-28 01:09:00,0.05106,0.02312,0.0157,2.035294117647059e-06,1.4857142857142858e-05
1991-10-28 01:10:00,0.0407,0.0175,0.0104,2.1294117647058823e-06,1.6142857142857145e-05
1991-10-28 01:11:00,0.045,0.0176,0.0101599999999999,2.1058823529411764e-06,1.6571428571428574e-05
1991-10-28 01:12:00,0.0493,0.0177,0.00992,1.976470588235294e-06,1.642857142857143e-05
1991-10-28 01:13:00,0.0536,0.0178,0.00968,1.835294117647059e-06,1.5857142857142857e-05
1991-10-28 01:14:00,0.0579,0.0179,0.00944,1.6941176470588237e-06,1.5428571428571428e-05
1991-10-28 01:15:00,0.0622,0.018,0.0092,1.5294117647058823e-06,1.4857142857142858e-05
1991-10-28 01:16:00,0.13076,0.0378,0.01522,1.3529411764705885e-06,1.4185714285714286e-05
1991-10-28 01:17:00,0.19932,0.0576,0.02124,1.1882352941176472e-06,1.3485714285714286e-05
1991-10-28 01:18:00,0.26788,0.0774,0.02726,1.0341176470588236e-06,1.2814285714285716e-05
1991-10-28 01:19:00,0.33644,0.0972,0.03328,9.23529411764706e-07,1.2271428571428573e-05
1991-10-28 01:20:00,0.405,0.117,0.0393,8.058823529411764e-07,1.1585714285714288e-05
1991-10-28 01:21:00,0.33838,0.09974,0.0358,7.094117647058824e-07,1.1014285714285716e-05
1991-10-28 01:22:00,0.27176,0.08248,0.0323,6.247058823529411e-07,1.05e-05
1991-10-28 01:23:00,0.20514,0.06522,0.0288,5.517647058823529e-07,9.971428571428573e-06
1991-10-28 01:24:00,0.13852,0.04796,0.0253,4.905882352941177e-07,9.528571428571429e-06
1991-10-28 01:25:00,0.0719,0.0307,0.0218,4.729411764705883e-07,9.371428571428572e-06
1991-10-28 01:26:00,0.10072,0.02738,0.018466,4.623529411764706e-07,9.328571428571429e-06
1991-10-28 01:27:00,0.12954,0.0240599999999999,0.015132,4.364705882352941e-07,9.142857142857142e-06
